seq,firstName,lastName,age,street,city,state,zip,dollar,pick,date
54,Mike,McCoy,53,Mokos Path,Zonzapec,GA,77655,"$5,761.62 ",WHITE,10/4/1965
55,Brian,McBride,42,Rugu Glen,Jefihiiwo,SC,16946,$174.69 ,BLUE,12/28/1931
56,Lelia,Gordon,49,Ufzo Heights,Gufomag,IN,53471,"$4,122.22 ",GREEN,7/20/1947
57,Eddie,Crawford,49,Ugotu Key,Hanouk,NJ,13540,"$9,982.63 ",YELLOW,2/28/1967
58,Jessie,Casey,36,Bawwi Place,Hieftu,FL,50673,"$3,285.25 ",YELLOW,4/17/2033
59,Eugene,Terry,26,Hohih Drive,Luocuili,WV,33224,"$9,477.16 ",GREEN,6/13/2012
60,Jay,Collins,43,Lonek Avenue,Michikhi,VT,48971,"$2,486.16 ",YELLOW,1/23/1913
61,Abbie,Watts,20,Epga Place,Luludev,UT,12096,"$2,870.08 ",YELLOW,12/24/2032
62,Harriet,Phillips,38,Rumwuk Pass,Takarod,AK,17043,$932.86 ,WHITE,3/14/2007
63,Blanche,Lindsey,54,Nazop Trail,Puvolad,AR,45033,"$6,704.91 ",YELLOW,4/19/2051
64,Lula,Brown,42,Juhi Pass,Senudlef,NJ,67765,"$4,390.10 ",RED,5/30/1968
65,Elmer,Sims,35,Fiswot Place,Ihageeb,NE,19617,"$1,583.85 ",GREEN,1/12/2022
66,Rosetta,Paul,24,Mikig Point,Mivowo,IL,62893,"$6,448.62 ",GREEN,4/30/1908
67,Dale,Brady,58,Arenuj Parkway,Pubfimkuv,WV,39970,"$2,726.16 ",GREEN,10/31/1978
68,Olga,Cooper,56,Tovehe Square,Febaho,DE,42240,"$2,211.49 ",RED,1/20/1937
69,Benjamin,Gross,54,Zohvic Square,Housma,NE,86430,"$3,596.75 ",YELLOW,10/10/2043
70,Sophia,Boyd,62,Debma Ridge,Tuudgug,MS,77847,$722.56 ,BLUE,6/8/2032
71,Amelia,Sanchez,32,Lega Street,Rempome,IA,45818,"$4,230.19 ",GREEN,9/14/1974
72,Lelia,Barton,50,Bikihu Terrace,Upiekde,NJ,75537,"$9,732.68 ",BLUE,11/10/1966
73,Elijah,Ramos,42,Orodo Extension,Fovimsa,FL,78520,"$3,315.48 ",BLUE,8/3/1962
74,May,Fox,18,Pefele Extension,Puvcuprac,PA,38601,"$4,790.31 ",YELLOW,7/19/2016
75,Polly,Vasquez,25,Faij View,Vupacziz,IA,13620,"$2,205.62 ",YELLOW,3/9/2056
76,Elva,Olson,42,Jeddo Center,Demusew,IL,7631,"$9,291.25 ",WHITE,7/10/2004
77,Brandon,Leonard,55,Azozur Mill,Wefaovo,MI,13248,$635.00 ,YELLOW,6/3/2016
78,Cynthia,Knight,42,Habav Place,Wajcidsu,RI,7817,"$3,986.87 ",RED,11/22/1941
79,Lillian,Sharp,49,Rutoco River,Wekeki,NE,48840,"$7,105.29 ",RED,8/7/1976
80,Shane,Gutierrez,36,Kufka Center,Iwegira,AL,87901,"$2,114.94 ",BLUE,5/19/1926
81,Della,Alvarado,21,Egutun Highway,Lowozzap,SC,77553,"$4,465.18 ",GREEN,1/31/1944
82,Christina,Stokes,55,Dido River,Nosmuwa,VT,7640,"$9,300.64 ",GREEN,2/6/1961
83,Victoria,Wise,59,Najva Mill,Loklisref,NC,58556,"$9,909.24 ",GREEN,11/17/1937
84,Inez,Salazar,21,Hoso Heights,Movzeshez,NY,88959,"$7,556.20 ",YELLOW,3/8/1962
85,Janie,Figueroa,55,Viapu Point,Gejtuja,MA,56177,$755.58 ,RED,3/7/2009
86,Fred,Gibbs,40,Foclal Pass,Ladtopaz,NY,23612,"$5,126.68 ",BLUE,11/10/1971
87,Nina,Gonzalez,38,Julos Court,Kalficvev,NM,2753,"$8,834.38 ",RED,6/5/2047
88,Harold,Wolfe,36,Zoeha Path,Sezvutho,CA,81166,"$9,204.39 ",GREEN,6/3/1923
89,Inez,Wise,22,Nepel Lane,Relozele,HI,2027,"$1,343.54 ",GREEN,8/30/2027
90,Adam,Massey,43,Hekbew Glen,Ozmiadi,NE,49825,"$2,852.23 ",GREEN,9/11/2067
91,Peter,Wilkerson,56,Tupig Trail,Wohnarnu,WI,26672,"$2,591.90 ",YELLOW,8/21/1948
92,Ollie,Watson,55,Movlen Square,Sarbusnal,NE,35893,"$5,982.74 ",WHITE,12/12/2019
93,Marcus,Stokes,60,Ceuj Place,Voejuva,OR,44061,"$5,249.29 ",GREEN,8/18/2020
94,Cordelia,Soto,50,Zaljop Key,Vabariac,MS,43802,"$6,219.76 ",BLUE,8/26/1983
95,Sadie,Bates,39,Nibbe Court,Joprumtej,OH,16144,"$6,138.80 ",RED,12/23/1954
96,Dominic,Clarke,63,Vizog Park,Sitosog,NJ,53707,"$2,136.10 ",GREEN,4/29/1911
97,Lucille,Hawkins,38,Kopolu Ridge,Vokukek,ME,37227,"$5,901.24 ",YELLOW,4/1/2065
98,Frank,Hernandez,45,Epifa Mill,Bucogzi,AK,73990,"$8,130.36 ",BLUE,12/15/1971
99,Lou,Erickson,38,Fodog Court,Jurgeji,IN,52279,"$4,396.81 ",WHITE,3/29/2055
100,Jayden,Payne,20,Ravet River,Codefmuf,WY,25933,"$6,074.25 ",YELLOW,12/8/1920
